id,season,city,date,team1,team2,toss_winner,day_night,toss_decision,result,dl_applied,winner,team1_score,team2_score,team1_wicket_fall,team2_wicket_fall,team1_overs_play,team2_overs_play,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,country
1359495,2023,Lucknow,2023/04/15,Lucknow Super Giants,Punjab Kings,Punjab Kings,Night,field,normal,0,Punjab Kings,159,161,8,8,20/20,19.3/20,0,2,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",HAS Khalid,VK Sharma,Tapan Sharma,India
1359494,2023,Bengaluru,2023/04/15,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Day/Night,field,normal,0,Royal Challengers Bangalore,174,151,6,9,20/20,20/20,23,0,V Kohli,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,MV Saidharshan Kumar,MA Gough,India
1359493,2023,Kolkata,2023/04/14,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Night,field,normal,0,Sunrisers Hyderabad,228,205,4,7,20/20,20/20,23,0,HC Brook,"Eden Gardens, Kolkata",CB Gaffaney,GR Sadashiv Iyer,NA Patwardhan,India
1359492,2023,Chandigarh,2023/04/13,Punjab Kings,Gujarat Titans,Gujarat Titans,Night,field,normal,0,Gujarat Titans,153,154,8,4,20/20,19.5/20,0,6,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",A Totre,J Madanagopal,BNJ Oxenford,India
1359491,2023,Chennai,2023/04/12,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Night,field,normal,0,Rajasthan Royals,175,172,8,6,20/20,20/20,3,0,R Ashwin,"MA Chidambaram Stadium, Chepauk, Chennai",Vinod Seshan,VK Sharma,Nitin Menon,India
1359490,2023,Delhi,2023/04/11,Delhi Capitals,Mumbai Indians,Mumbai Indians,Night,field,normal,0,Mumbai Indians,172,173,10,4,19.4/20,20/20,0,6,RG Sharma,"Arun Jaitley Stadium, Delhi",MA Gough,R Pandit,KN Ananthapadmanabhan,India
1359489,2023,Bengaluru,2023/04/10,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,Night,field,normal,0,Lucknow Super Giants,212,213,2,9,20/20,20/20,0,1,N Pooran,"M Chinnaswamy Stadium, Bengaluru",AK Chaudhary,A Nand Kishore,CB Gaffaney,India
1359487,2023,Ahmedabad,2023/04/09,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,Day/Night,bat,normal,0,Kolkata Knight Riders,204,207,4,7,20/20,20/20,0,3,RK Singh,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Tapan Sharma,HAS Khalid,India
1359488,2023,Hyderabad,2023/04/09,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Night,field,normal,0,Sunrisers Hyderabad,143,145,9,2,20/20,17.1/20,0,8,S Dhawan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",BNJ Oxenford,UV Gandhe,J Madanagopal,India
1359486,2023,Mumbai,2023/04/08,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Night,field,normal,0,Chennai Super Kings,157,159,8,3,20/20,18.1/20,0,7,RA Jadeja,"Wankhede Stadium, Mumbai",CB Gaffaney,NA Patwardhan,AK Chaudhary,India
